threshold,net_benefit,treat_all,analysis,method
0.09999999999999999,0.2999289267945984,0.2999289267945984,NHANES CKD cross-validation,RuleFit
0.10999999999999999,0.29166167557078176,0.292062959679931,NHANES CKD cross-validation,RuleFit
0.11999999999999998,0.28457549912773794,0.28401822058538473,NHANES CKD cross-validation,RuleFit
0.12999999999999998,0.27545768693478423,0.27578854495992944,NHANES CKD cross-validation,RuleFit
0.13999999999999999,0.26891704269350925,0.2673674815292309,NHANES CKD cross-validation,RuleFit
0.14999999999999997,0.26088047159162175,0.25874827542957485,NHANES CKD cross-validation,RuleFit
0.15999999999999998,0.2543913087623109,0.24992385013706975,NHANES CKD cross-validation,RuleFit
0.16999999999999996,0.24916510391245156,0.24088678809052844,NHANES CKD cross-validation,RuleFit
0.17999999999999997,0.24154922252847266,0.2316293098965105,NHANES CKD cross-validation,RuleFit
0.18999999999999997,0.23358077338176844,0.22214325199399826,NHANES CKD cross-validation,RuleFit
0.19999999999999996,0.22654584221748403,0.21242004264392325,NHANES CKD cross-validation,RuleFit
0.20999999999999996,0.21812501686864055,0.20245067609511216,NHANES CKD cross-validation,RuleFit
0.21999999999999995,0.21211251435132036,0.1922256847629982,NHANES CKD cross-validation,RuleFit
0.22999999999999995,0.20626228781879105,0.18173510924043976,NHANES CKD cross-validation,RuleFit
0.23999999999999996,0.19495567276399958,0.17096846594097187,NHANES CKD cross-validation,RuleFit
0.24999999999999994,0.18674484719260842,0.15991471215351816,NHANES CKD cross-validation,RuleFit
0.25999999999999995,0.1820722641618164,0.1485622082637008,NHANES CKD cross-validation,RuleFit
0.26999999999999996,0.17421941174752462,0.13689867687005286,NHANES CKD cross-validation,RuleFit
0.27999999999999997,0.17119758351101635,0.12491115849324805,NHANES CKD cross-validation,RuleFit
0.29,0.1622646325715487,0.11258596354244871,NHANES CKD cross-validation,RuleFit
0.3,0.15298507462686564,0.09990862016448365,NHANES CKD cross-validation,RuleFit
0.31,0.14598590896449432,0.0868638175581718,NHANES CKD cross-validation,RuleFit
0.31999999999999995,0.14175968895020696,0.07343534428696857,NHANES CKD cross-validation,RuleFit
0.32999999999999996,0.13874391369379122,0.05960602106737106,NHANES CKD cross-validation,RuleFit
0.33999999999999997,0.13398914518317503,0.04535762744717975,NHANES CKD cross-validation,RuleFit
0.35,0.13162210923404952,0.030670821715597818,NHANES CKD cross-validation,RuleFit
0.36,0.12999733475479747,0.015525053304904002,NHANES CKD cross-validation,RuleFit
0.36999999999999994,0.1251819135614445,-0.00010153315057359613,NHANES CKD cross-validation,RuleFit
